Sex,Industry of Employment,Region,Value
Males,Inadequately described and not stated,Ardeer - Albion,158
Females,Inadequately described and not stated,Ardeer - Albion,63
Males,"Agriculture, Forestry and Fishing",Cairnlea,21
Females,"Agriculture, Forestry and Fishing",Cairnlea,14
Males,Mining,Cairnlea,3
Females,Mining,Cairnlea,0
Males,Manufacturing,Cairnlea,400
Females,Manufacturing,Cairnlea,161
Males,"Electricity, Gas, Water and Waste Services",Cairnlea,16
Females,"Electricity, Gas, Water and Waste Services",Cairnlea,9
Males,Construction,Cairnlea,254
Females,Construction,Cairnlea,36
Males,Wholesale Trade,Cairnlea,93
Females,Wholesale Trade,Cairnlea,44
Males,Retail Trade,Cairnlea,201
Females,Retail Trade,Cairnlea,281
Males,Accommodation and Food Services,Cairnlea,165
Females,Accommodation and Food Services,Cairnlea,162
Males,"Transport, Postal and Warehousing",Cairnlea,293
Females,"Transport, Postal and Warehousing",Cairnlea,111
Males,Information Media and Telecommunications,Cairnlea,46
Females,Information Media and Telecommunications,Cairnlea,25
Males,Financial and Insurance Services,Cairnlea,104
Females,Financial and Insurance Services,Cairnlea,124
Males,"Rental, Hiring and Real Estate Services",Cairnlea,33
Females,"Rental, Hiring and Real Estate Services",Cairnlea,21
Males,"Professional, Scientific and Technical Services",Cairnlea,123
Females,"Professional, Scientific and Technical Services",Cairnlea,106
Males,Administrative and Support Services,Cairnlea,81
Females,Administrative and Support Services,Cairnlea,93
Males,Public Administration and Safety,Cairnlea,75
Females,Public Administration and Safety,Cairnlea,99
Males,Education and Training,Cairnlea,70
Females,Education and Training,Cairnlea,158
Males,Health Care and Social Assistance,Cairnlea,93
Females,Health Care and Social Assistance,Cairnlea,353
Males,Arts and Recreation Services,Cairnlea,31
Females,Arts and Recreation Services,Cairnlea,34
Males,Other Services,Cairnlea,96
Females,Other Services,Cairnlea,95
Males,Inadequately described and not stated,Cairnlea,180
Females,Inadequately described and not stated,Cairnlea,88
Males,"Agriculture, Forestry and Fishing",Deer Park - Derrimut,35
Females,"Agriculture, Forestry and Fishing",Deer Park - Derrimut,33
Males,Mining,Deer Park - Derrimut,9
Females,Mining,Deer Park - Derrimut,0
Males,Manufacturing,Deer Park - Derrimut,910
Females,Manufacturing,Deer Park - Derrimut,358
Males,"Electricity, Gas, Water and Waste Services",Deer Park - Derrimut,96
Females,"Electricity, Gas, Water and Waste Services",Deer Park - Derrimut,37
Males,Construction,Deer Park - Derrimut,633
Females,Construction,Deer Park - Derrimut,74
Males,Wholesale Trade,Deer Park - Derrimut,253
Females,Wholesale Trade,Deer Park - Derrimut,158
Males,Retail Trade,Deer Park - Derrimut,482
Females,Retail Trade,Deer Park - Derrimut,573
Males,Accommodation and Food Services,Deer Park - Derrimut,315
Females,Accommodation and Food Services,Deer Park - Derrimut,397
Males,"Transport, Postal and Warehousing",Deer Park - Derrimut,909
Females,"Transport, Postal and Warehousing",Deer Park - Derrimut,255
Males,Information Media and Telecommunications,Deer Park - Derrimut,117
Females,Information Media and Telecommunications,Deer Park - Derrimut,60
Males,Financial and Insurance Services,Deer Park - Derrimut,184
Females,Financial and Insurance Services,Deer Park - Derrimut,254
Males,"Rental, Hiring and Real Estate Services",Deer Park - Derrimut,76
Females,"Rental, Hiring and Real Estate Services",Deer Park - Derrimut,82
Males,"Professional, Scientific and Technical Services",Deer Park - Derrimut,284
Females,"Professional, Scientific and Technical Services",Deer Park - Derrimut,228
Males,Administrative and Support Services,Deer Park - Derrimut,248
Females,Administrative and Support Services,Deer Park - Derrimut,232
Males,Public Administration and Safety,Deer Park - Derrimut,241
Females,Public Administration and Safety,Deer Park - Derrimut,209
Males,Education and Training,Deer Park - Derrimut,151
Females,Education and Training,Deer Park - Derrimut,389
Males,Health Care and Social Assistance,Deer Park - Derrimut,246
Females,Health Care and Social Assistance,Deer Park - Derrimut,1011
Males,Arts and Recreation Services,Deer Park - Derrimut,90
Females,Arts and Recreation Services,Deer Park - Derrimut,89
Males,Other Services,Deer Park - Derrimut,230
Females,Other Services,Deer Park - Derrimut,153
Males,Inadequately described and not stated,Deer Park - Derrimut,512
Females,Inadequately described and not stated,Deer Park - Derrimut,268
Males,"Agriculture, Forestry and Fishing",Delahey,6
Females,"Agriculture, Forestry and Fishing",Delahey,7
Males,Mining,Delahey,4
Females,Mining,Delahey,4
Males,Manufacturing,Delahey,321
Females,Manufacturing,Delahey,123
Males,"Electricity, Gas, Water and Waste Services",Delahey,14
Females,"Electricity, Gas, Water and Waste Services",Delahey,14
Males,Construction,Delahey,257
Females,Construction,Delahey,26
Males,Wholesale Trade,Delahey,62
Females,Wholesale Trade,Delahey,37
Males,Retail Trade,Delahey,182
Females,Retail Trade,Delahey,260
Males,Accommodation and Food Services,Delahey,115
Females,Accommodation and Food Services,Delahey,139
Males,"Transport, Postal and Warehousing",Delahey,293
Females,"Transport, Postal and Warehousing",Delahey,93
Males,Information Media and Telecommunications,Delahey,23
Females,Information Media and Telecommunications,Delahey,23
Males,Financial and Insurance Services,Delahey,45
Females,Financial and Insurance Services,Delahey,71
Males,"Rental, Hiring and Real Estate Services",Delahey,14
Females,"Rental, Hiring and Real Estate Services",Delahey,26
Males,"Professional, Scientific and Technical Services",Delahey,61
Females,"Professional, Scientific and Technical Services",Delahey,59
Males,Administrative and Support Services,Delahey,72
Females,Administrative and Support Services,Delahey,80
Males,Public Administration and Safety,Delahey,99
Females,Public Administration and Safety,Delahey,73
Males,Education and Training,Delahey,50
Females,Education and Training,Delahey,139
Males,Health Care and Social Assistance,Delahey,61
Females,Health Care and Social Assistance,Delahey,302
Males,Arts and Recreation Services,Delahey,16
Females,Arts and Recreation Services,Delahey,17
Males,Other Services,Delahey,77
Females,Other Services,Delahey,63
Males,Inadequately described and not stated,Delahey,154
Females,Inadequately described and not stated,Delahey,105
Males,"Agriculture, Forestry and Fishing",Keilor Downs,8
Females,"Agriculture, Forestry and Fishing",Keilor Downs,7
Males,Mining,Keilor Downs,4
Females,Mining,Keilor Downs,0
Males,Manufacturing,Keilor Downs,355
Females,Manufacturing,Keilor Downs,142
Males,"Electricity, Gas, Water and Waste Services",Keilor Downs,39
Females,"Electricity, Gas, Water and Waste Services",Keilor Downs,16
Males,Construction,Keilor Downs,501
Females,Construction,Keilor Downs,66
Males,Wholesale Trade,Keilor Downs,113
Females,Wholesale Trade,Keilor Downs,74
Males,Retail Trade,Keilor Downs,268
Females,Retail Trade,Keilor Downs,355
Males,Accommodation and Food Services,Keilor Downs,161
Females,Accommodation and Food Services,Keilor Downs,182
Males,"Transport, Postal and Warehousing",Keilor Downs,453
Females,"Transport, Postal and Warehousing",Keilor Downs,143
Males,Information Media and Telecommunications,Keilor Downs,63
Females,Information Media and Telecommunications,Keilor Downs,39
Males,Financial and Insurance Services,Keilor Downs,90
Females,Financial and Insurance Services,Keilor Downs,111
Males,"Rental, Hiring and Real Estate Services",Keilor Downs,37
Females,"Rental, Hiring and Real Estate Services",Keilor Downs,41
Males,"Professional, Scientific and Technical Services",Keilor Downs,174
Females,"Professional, Scientific and Technical Services",Keilor Downs,130
Males,Administrative and Support Services,Keilor Downs,128
Females,Administrative and Support Services,Keilor Downs,132
Males,Public Administration and Safety,Keilor Downs,155
Females,Public Administration and Safety,Keilor Downs,188
Males,Education and Training,Keilor Downs,126
Females,Education and Training,Keilor Downs,343
Males,Health Care and Social Assistance,Keilor Downs,88
Females,Health Care and Social Assistance,Keilor Downs,462
Males,Arts and Recreation Services,Keilor Downs,44
Females,Arts and Recreation Services,Keilor Downs,39
Males,Other Services,Keilor Downs,144
Females,Other Services,Keilor Downs,83
Males,Inadequately described and not stated,Keilor Downs,219
Females,Inadequately described and not stated,Keilor Downs,105
Males,"Agriculture, Forestry and Fishing",Kings Park (Vic.),17
Females,"Agriculture, Forestry and Fishing",Kings Park (Vic.),14
Males,Mining,Kings Park (Vic.),0
Females,Mining,Kings Park (Vic.),0
Males,Manufacturing,Kings Park (Vic.),504
Females,Manufacturing,Kings Park (Vic.),201
Males,"Electricity, Gas, Water and Waste Services",Kings Park (Vic.),18
Females,"Electricity, Gas, Water and Waste Services",Kings Park (Vic.),9
Males,Construction,Kings Park (Vic.),340
Females,Construction,Kings Park (Vic.),32
Males,Wholesale Trade,Kings Park (Vic.),121
Females,Wholesale Trade,Kings Park (Vic.),61
Males,Retail Trade,Kings Park (Vic.),259
Females,Retail Trade,Kings Park (Vic.),294
Males,Accommodation and Food Services,Kings Park (Vic.),157
Females,Accommodation and Food Services,Kings Park (Vic.),175
Males,"Transport, Postal and Warehousing",Kings Park (Vic.),363
Females,"Transport, Postal and Warehousing",Kings Park (Vic.),101
Males,Information Media and Telecommunications,Kings Park (Vic.),36
Females,Information Media and Telecommunications,Kings Park (Vic.),10
Males,Financial and Insurance Services,Kings Park (Vic.),48
Females,Financial and Insurance Services,Kings Park (Vic.),78
Males,"Rental, Hiring and Real Estate Services",Kings Park (Vic.),28
Females,"Rental, Hiring and Real Estate Services",Kings Park (Vic.),24
Males,"Professional, Scientific and Technical Services",Kings Park (Vic.),106
Females,"Professional, Scientific and Technical Services",Kings Park (Vic.),57
Males,Administrative and Support Services,Kings Park (Vic.),118
Females,Administrative and Support Services,Kings Park (Vic.),134
Males,Public Administration and Safety,Kings Park (Vic.),81
Females,Public Administration and Safety,Kings Park (Vic.),77
Males,Education and Training,Kings Park (Vic.),84
Females,Education and Training,Kings Park (Vic.),195
Males,Health Care and Social Assistance,Kings Park (Vic.),97
Females,Health Care and Social Assistance,Kings Park (Vic.),399
Males,Arts and Recreation Services,Kings Park (Vic.),31
Females,Arts and Recreation Services,Kings Park (Vic.),30
Males,Other Services,Kings Park (Vic.),141
Females,Other Services,Kings Park (Vic.),89
Males,Inadequately described and not stated,Kings Park (Vic.),255
Females,Inadequately described and not stated,Kings Park (Vic.),145
Males,"Agriculture, Forestry and Fishing",St Albans - North,43
Females,"Agriculture, Forestry and Fishing",St Albans - North,40
Males,Mining,St Albans - North,10
Females,Mining,St Albans - North,3
Males,Manufacturing,St Albans - North,563
Females,Manufacturing,St Albans - North,218
Males,"Electricity, Gas, Water and Waste Services",St Albans - North,33
Females,"Electricity, Gas, Water and Waste Services",St Albans - North,13
Males,Construction,St Albans - North,475
Females,Construction,St Albans - North,40
Males,Wholesale Trade,St Albans - North,152
Females,Wholesale Trade,St Albans - North,77
Males,Retail Trade,St Albans - North,336
Females,Retail Trade,St Albans - North,360
Males,Accommodation and Food Services,St Albans - North,311
Females,Accommodation and Food Services,St Albans - North,300
Males,"Transport, Postal and Warehousing",St Albans - North,543
Females,"Transport, Postal and Warehousing",St Albans - North,112
Males,Information Media and Telecommunications,St Albans - North,59
Females,Information Media and Telecommunications,St Albans - North,23
Males,Financial and Insurance Services,St Albans - North,80
Females,Financial and Insurance Services,St Albans - North,98
Males,"Rental, Hiring and Real Estate Services",St Albans - North,38
Females,"Rental, Hiring and Real Estate Services",St Albans - North,38
Males,"Professional, Scientific and Technical Services",St Albans - North,140
Females,"Professional, Scientific and Technical Services",St Albans - North,118
Males,Administrative and Support Services,St Albans - North,211
Females,Administrative and Support Services,St Albans - North,183
Males,Public Administration and Safety,St Albans - North,132
